ID,ParamName
235,CustomBoolean3
236,CustomBoolean4
237,CustomBoolean5
238,CustomBoolean6
239,CustomBoolean7
240,CustomBoolean8
241,CustomBoolean9
242,CustomBoolean10
243,CustomBoolean11
244,CustomBoolean12
245,CustomBoolean13
246,CustomBoolean14
247,CustomBoolean15
248,CustomBoolean16
249,CustomBoolean17
250,CustomBoolean18
251,CustomBoolean19
252,UvTransform0
253,UvTransform1
254,UvTransform2
255,UvTransform3
256,UvTransform4
257,UvTransform5
258,UvTransform6
259,UvTransform7
260,UvTransform8
261,UvTransform9
262,UvTransform10
263,UvTransform11
264,UvTransform12
265,UvTransform13
266,UvTransform14
267,UvTransform15
268,DiffuseUvTransform1
269,DiffuseUvTransform2
270,SpecularUvTransform1
271,SpecularUvTransform2
272,NormalUvTransform1
273,NormalUvTransform2
274,DiffuseUvTransform
275,SpecularUvTransform
276,NormalUvTransform
277,UseDiffuseUvTransform
278,UseSpecularUvTransform
279,UseNormalUvTransform
280,BlendState0
281,BlendState1
282,BlendState2
283,BlendState3
284,BlendState4
285,BlendState5
286,BlendState6
287,BlendState7
288,BlendState8
289,BlendState9
290,BlendState10
291,RasterizerState0
292,RasterizerState1
293,RasterizerState2
294,RasterizerState3
295,RasterizerState4
296,RasterizerState5
297,RasterizerState6
298,RasterizerState7
299,RasterizerState8
300,RasterizerState9
301,RasterizerState10
302,ShadowColor
303,EmissiveMapLayer1
304,EmissiveMapLayer2
305,AlphaTestFunc
306,AlphaTestRef
307,Texture16
308,Texture17
309,Texture18
310,Texture19
311,Sampler16
312,Sampler17
313,Sampler18
314,Sampler19
315,CustomVector20
316,CustomVector21
317,CustomVector22
318,CustomVector23
319,CustomVector24
320,CustomVector25
321,CustomVector26
322,CustomVector27
323,CustomVector28
324,CustomVector29
325,CustomVector30
326,CustomVector31
327,CustomVector32
328,CustomVector33
329,CustomVector34
330,CustomVector35
331,CustomVector36
332,CustomVector37
333,CustomVector38
334,CustomVector39
335,CustomVector40
336,CustomVector41
337,CustomVector42
338,CustomVector43
339,CustomVector44
340,CustomVector45
341,CustomVector46
342,CustomVector47
343,CustomVector48
344,CustomVector49
345,CustomVector50
346,CustomVector51
347,CustomVector52
348,CustomVector53
349,CustomVector54
350,CustomVector55
351,CustomVector56
352,CustomVector57
353,CustomVector58
354,CustomVector59
355,CustomVector60
356,CustomVector61
357,CustomVector62
358,CustomVector63
359,UseBaseColorMap
360,UseMetallicMap
361,BaseColorMap
362,BaseColorMapLayer1
363,MetallicMap
364,MetallicMapLayer1
365,DiffuseLightingAoOffset
